camera,filename,radius,config,margin_inner_px,margin_outer_px,inner_frac,outer_frac,raw_erf,raw_int_var,raw_bg_var,raw_int_max,flat_erf,flat_int_var,flat_bg_var,flat_int_max,erf_delta,erf_pct,int_var_reduction,bg_var_reduction
g,sphere0943g_crop.png,50,asym_in5_out14,2,7,0.04,0.14,0.4300617054302983,0.03321433439850807,0.0047922274097800255,0.7058823704719543,6.572770587176999,0.0,0.0,0.0,6.1427088817467,1428.3319821746538,1.0,1.0
g,sphere0943g_crop.png,50,asym_in8_out14,4,7,0.08,0.14,0.4300617054302983,0.03321433439850807,0.0047922274097800255,0.7058823704719543,6.582519312579269,0.0,0.0,0.0,6.15245760714897,1430.598802326082,1.0,1.0
g,sphere0943g_crop.png,50,asym_in5_out20,2,10,0.04,0.2,0.4300617054302983,0.03321433439850807,0.0047922274097800255,0.7058823704719543,7.935133508449178,0.0,0.0,0.0,7.50507180301888,1745.1151098212008,1.0,1.0
g,sphere0943g_crop.png,50,asym_in10_out20,5,10,0.1,0.2,0.4300617054302983,0.03321433439850807,0.0047922274097800255,0.7058823704719543,7.94300286297163,0.0,0.0,0.0,7.512941157541332,1746.9449296873008,1.0,1.0
g,sphere0943g_crop.png,50,asym_in14_out5,7,2,0.14,0.04,0.4300617054302983,0.03321433439850807,0.0047922274097800255,0.7058823704719543,4.15910172780853,0.0,0.0,0.0,3.729040022378231,867.0941809727374,1.0,1.0
g,sphere0943g_crop.png,50,asym_in20_out8,10,4,0.2,0.08,0.4300617054302983,0.03321433439850807,0.0047922274097800255,0.7058823704719543,5.1906819791857846,0.0,0.0,0.0,4.760620273755486,1106.9621437212706,1.0,1.0
g,sphere0943g_crop.png,50,asym_in14_out8,7,4,0.14,0.08,0.4300617054302983,0.03321433439850807,0.0047922274097800255,0.7058823704719543,5.188332984461483,0.0,0.0,0.0,4.7582712790311845,1106.4159442585792,1.0,1.0
g,sphere1080g_crop.png,49,fixed_15px,15,15,0.30612244897959184,0.30612244897959184,0.454178404814795,0.04872298985719681,0.007700158283114433,0.8509804010391235,1.455480309880814,2.037064739113248e-09,1.1014860135105664e-09,0.001027705380693078,1.001301905066019,220.46444622886247,0.9999999581908922,0.9999998569528089
g,sphere1080g_crop.png,49,fixed_25px,25,25,0.5102040816326531,0.5102040816326531,0.454178404814795,0.04872298985719681,0.007700158283114433,0.8509804010391235,1.220742465691774,0.004647501278668642,0.0013325628824532032,0.43921568989753723,0.766564060876979,168.78038514173053,0.9046137913069354,0.8269434427893045
g,sphere1080g_crop.png,49,fixed_35px,35,35,0.7142857142857143,0.7142857142857143,0.454178404814795,0.04872298985719681,0.007700158283114433,0.8509804010391235,0.9234541117650653,0.023285608738660812,0.0044827633537352085,0.6515718698501587,0.4692757069502703,103.32409070431953,0.522081694762389,0.4178349082037188
g,sphere1080g_crop.png,49,prop_5pct,2,2,0.04081632653061224,0.04081632653061224,0.454178404814795,0.04872298985719681,0.007700158283114433,0.8509804010391235,1.7502543582138221,0.0,0.0,0.0,1.2960759533990271,285.3671464030839,1.0,1.0
g,sphere1080g_crop.png,49,prop_8pct,3,3,0.061224489795918366,0.061224489795918366,0.454178404814795,0.04872298985719681,0.007700158283114433,0.8509804010391235,1.7841742070622173,0.0,0.0,0.0,1.3299958022474223,292.8355439510094,1.0,1.0
g,sphere1080g_crop.png,49,prop_10pct,4,4,0.08163265306122448,0.08163265306122448,0.454178404814795,0.04872298985719681,0.007700158283114433,0.8509804010391235,1.7716936035610091,0.0,0.0,0.0,1.3175151987462141,290.08759218384034,1.0,1.0
