camera,filename,config,radius,m_in,m_out,margin_as_pct_of_R,test_type,sigma_target,kernel_applied,native_sigma,measured,error_pct,int_var,int_max
v,sphere0925v_crop.png,25% of radius,92,23,23,25.0,quadrature,6.0,5.930298631644813,0.911898097109346,6.637388149100259,10.623135818337648,0.0,0.0
v,sphere0925v_crop.png,25% of radius,92,23,23,25.0,quadrature,8.0,7.947857689999762,0.911898097109346,8.89078674415467,11.134834301933383,0.0,0.0
v,sphere0925v_crop.png,25% of radius,92,23,23,25.0,quadrature,10.0,9.958335295644968,0.911898097109346,11.022022725334264,10.220227253342635,0.0,0.0
v,sphere0925v_crop.png,25% of radius,92,23,23,25.0,quadrature,12.0,11.96530157833426,0.911898097109346,13.067121036991924,8.892675308266037,0.0,0.0
v,sphere0925v_crop.png,25% of radius,92,23,23,25.0,fixed_kernel,2.198080558012296,2.0,0.911898097109346,2.3740057904154703,8.003584389202821,0.0,0.0
v,sphere0925v_crop.png,25% of radius,92,23,23,25.0,fixed_kernel,4.102628199034327,4.0,0.911898097109346,4.48523192233373,9.32582005333703,0.0,0.0
v,sphere0925v_crop.png,25% of radius,92,23,23,25.0,fixed_kernel,6.068900900452375,6.0,0.911898097109346,6.71491011516992,10.644583349011217,0.0,0.0
v,sphere0925v_crop.png,25% of radius,92,23,23,25.0,fixed_kernel,8.05180465110224,8.0,0.911898097109346,8.948021756074663,11.13063646979733,0.0,0.0
v,sphere0925v_crop.png,25% of radius,92,23,23,25.0,fixed_kernel,10.041491828384448,10.0,0.911898097109346,11.064992510928537,10.192715385685453,0.0,0.0
v,sphere0925v_crop.png,25% of radius,92,23,23,25.0,fixed_kernel,12.03459837882061,12.0,0.911898097109346,13.101956416756186,8.869079003201252,0.0,0.0
v,sphere0316v_crop.png,Raw (no flattening),104,0,0,0.0,quadrature,2.0,1.825417882115709,0.8172206285038326,1.9858638810418126,-0.7068059479093725,0.03147413954138756,0.929411768913269
v,sphere0316v_crop.png,Raw (no flattening),104,0,0,0.0,quadrature,4.0,3.915628997280999,0.8172206285038326,3.9335002821606166,-1.6624929459845839,0.03147413954138756,0.929411768913269
v,sphere0316v_crop.png,Raw (no flattening),104,0,0,0.0,quadrature,6.0,5.9440853328622225,0.8172206285038326,5.837305712301603,-2.7115714616399464,0.03147413954138756,0.929411768913269
v,sphere0316v_crop.png,Raw (no flattening),104,0,0,0.0,quadrature,8.0,7.958149938543996,0.8172206285038326,7.633533657975393,-4.580829275307585,0.03147413954138756,0.929411768913269
v,sphere0316v_crop.png,Raw (no flattening),104,0,0,0.0,quadrature,10.0,9.966551582385344,0.8172206285038326,9.381453395385087,-6.185466046149131,0.03147413954138756,0.929411768913269
v,sphere0316v_crop.png,Raw (no flattening),104,0,0,0.0,quadrature,12.0,11.972140595747604,0.8172206285038326,10.995345468545326,-8.37212109545562,0.03147413954138756,0.929411768913269
v,sphere0316v_crop.png,Raw (no flattening),104,0,0,0.0,fixed_kernel,2.1605206677216025,2.0,0.8172206285038326,2.1427918020101138,-0.8205830185454707,0.03147413954138756,0.929411768913269
v,sphere0316v_crop.png,Raw (no flattening),104,0,0,0.0,fixed_kernel,4.082627775790024,4.0,0.8172206285038326,4.012459067344036,-1.718714325662707,0.03147413954138756,0.929411768913269
v,sphere0316v_crop.png,Raw (no flattening),104,0,0,0.0,fixed_kernel,6.055398381250584,6.0,0.8172206285038326,5.889408993534216,-2.741180303352515,0.03147413954138756,0.929411768913269
v,sphere0316v_crop.png,Raw (no flattening),104,0,0,0.0,fixed_kernel,8.041632269362495,8.0,0.8172206285038326,7.670579300348745,-4.614149921122485,0.03147413954138756,0.929411768913269
v,sphere0316v_crop.png,Raw (no flattening),104,0,0,0.0,fixed_kernel,10.033336910303182,10.0,0.8172206285038326,9.409850281973519,-6.21415022642575,0.03147413954138756,0.929411768913269
v,sphere0316v_crop.png,Raw (no flattening),104,0,0,0.0,fixed_kernel,12.027794875023941,12.0,0.8172206285038326,11.016614276074426,-8.407032290260126,0.03147413954138756,0.929411768913269
v,sphere0316v_crop.png,Fixed 40px,104,40,40,38.46153846153846,quadrature,2.0,1.8162916082367762,0.8373080638860853,2.0334751594747633,1.6737579737381658,3.4209953121179526e-14,1.3913127077103127e-05
v,sphere0316v_crop.png,Fixed 40px,104,40,40,38.46153846153846,quadrature,4.0,3.911382774179911,0.8373080638860853,4.054712048890353,1.3678012222588354,3.4209953121179526e-14,1.3913127077103127e-05
v,sphere0316v_crop.png,Fixed 40px,104,40,40,38.46153846153846,quadrature,6.0,5.941289018904175,0.8373080638860853,6.069690130957509,1.1615021826251553,3.4209953121179526e-14,1.3913127077103127e-05
v,sphere0316v_crop.png,Fixed 40px,104,40,40,38.46153846153846,quadrature,8.0,7.956061538610126,0.8373080638860853,8.081598246836736,1.0199780854591944,3.4209953121179526e-14,1.3913127077103127e-05
v,sphere0316v_crop.png,Fixed 40px,104,40,40,38.46153846153846,quadrature,10.0,9.964884103999973,0.8373080638860853,10.116878493567011,1.1687849356701108,3.4209953121179526e-14,1.3913127077103127e-05
v,sphere0316v_crop.png,Fixed 40px,104,40,40,38.46153846153846,quadrature,12.0,11.970752491224241,0.8373080638860853,12.144010743532007,1.200089529433394,3.4209953121179526e-14,1.3913127077103127e-05
v,sphere0316v_crop.png,Fixed 40px,104,40,40,38.46153846153846,fixed_kernel,2.168198513478105,2.0,0.8373080638860853,2.2025931469804907,1.5863230828994292,3.4209953121179526e-14,1.3913127077103127e-05
v,sphere0316v_crop.png,Fixed 40px,104,40,40,38.46153846153846,fixed_kernel,4.086696073094825,4.0,0.8373080638860853,4.142116950324217,1.3561291624855825,3.4209953121179526e-14,1.3913127077103127e-05
v,sphere0316v_crop.png,Fixed 40px,104,40,40,38.46153846153846,fixed_kernel,6.058142024899108,6.0,0.8373080638860853,6.128309978649954,1.1582421386367963,3.4209953121179526e-14,1.3913127077103127e-05
v,sphere0316v_crop.png,Fixed 40px,104,40,40,38.46153846153846,fixed_kernel,8.043698452443916,8.0,0.8373080638860853,8.125413906218355,1.015894047465339,3.4209953121179526e-14,1.3913127077103127e-05
v,sphere0316v_crop.png,Fixed 40px,104,40,40,38.46153846153846,fixed_kernel,10.034993014140502,10.0,0.8373080638860853,10.154500762224906,1.1909101273513905,3.4209953121179526e-14,1.3913127077103127e-05
v,sphere0316v_crop.png,Fixed 40px,104,40,40,38.46153846153846,fixed_kernel,12.029176397154073,12.0,0.8373080638860853,12.17355624693462,1.2002471741515508,3.4209953121179526e-14,1.3913127077103127e-05
v,sphere0316v_crop.png,Fixed 50px (current),104,50,50,48.07692307692308,quadrature,2.0,1.8189143849594849,0.8315951299685795,2.0320165905580483,1.6008295279024143,1.6180436546164856e-07,0.007843137718737125
v,sphere0316v_crop.png,Fixed 50px (current),104,50,50,48.07692307692308,quadrature,4.0,3.912601377576374,0.8315951299685795,4.035741125169276,0.8935281292318908,1.6180436546164856e-07,0.007843137718737125
v,sphere0316v_crop.png,Fixed 50px (current),104,50,50,48.07692307692308,quadrature,6.0,5.942091343947225,0.8315951299685795,6.065790067574768,1.09650112624613,1.6180436546164856e-07,0.007843137718737125
v,sphere0316v_crop.png,Fixed 50px (current),104,50,50,48.07692307692308,quadrature,8.0,7.956660702820785,0.8315951299685795,8.07617493867576,0.9521867334469913,1.6180436546164856e-07,0.007843137718737125
v,sphere0316v_crop.png,Fixed 50px (current),104,50,50,48.07692307692308,quadrature,10.0,9.965362489132673,0.8315951299685795,10.090800364754203,0.908003647542035,1.6180436546164856e-07,0.007843137718737125
