crop_path,filename,folder,laplacian_var,tenengrad,tenengrad_var,brenner,norm_laplacian,energy_gradient
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-1\sphere0137v_crop.png,sphere0137v_crop.png,10mm-borosilicate-1,228.619361759888,701565634.0,7446.458915447844,23646223.0,0.02208369526110923,15851693.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-1\sphere0138v_crop.png,sphere0138v_crop.png,10mm-borosilicate-1,231.7322852378178,709806694.0,7530.291917268982,23843072.0,0.02215630988606304,16042786.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-1\sphere0139v_crop.png,sphere0139v_crop.png,10mm-borosilicate-1,227.3802027150207,696962012.0,7389.113852083039,23486635.0,0.022068489567490843,15750808.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-1\sphere0140v_crop.png,sphere0140v_crop.png,10mm-borosilicate-1,226.43105050872904,695105112.0,7382.87085756215,23426619.0,0.022049109316491223,15707204.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-1\sphere0141v_crop.png,sphere0141v_crop.png,10mm-borosilicate-1,226.50195780300473,692449820.0,7339.007210441049,23851016.0,0.022677654509251723,15662480.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-1\sphere0142v_crop.png,sphere0142v_crop.png,10mm-borosilicate-1,229.19289782459143,700888848.0,7435.463636755731,24018812.0,0.022766127686840127,15856412.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-1\sphere0143v_crop.png,sphere0143v_crop.png,10mm-borosilicate-1,226.9295896310767,703755468.0,7472.3429876613245,24063563.0,0.022530938479676733,15853550.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-1\sphere0144v_crop.png,sphere0144v_crop.png,10mm-borosilicate-1,226.97282433445696,708248684.0,7520.2810508923085,24160437.0,0.022414287273255853,15931313.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-1\sphere0145v_crop.png,sphere0145v_crop.png,10mm-borosilicate-1,240.28471784328073,722053162.0,7664.082490848287,24632619.0,0.023411901235172592,16418048.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-1\sphere0146v_crop.png,sphere0146v_crop.png,10mm-borosilicate-1,235.3736524616048,713010344.0,7567.555015399448,24511778.0,0.023066469565611255,16180302.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-1\sphere0147v_crop.png,sphere0147v_crop.png,10mm-borosilicate-1,233.01272040432673,702453436.0,7456.781162594298,24089424.0,0.02341756832927129,15957803.0
