crop_path,filename,folder,laplacian_var,tenengrad,tenengrad_var,brenner,norm_laplacian,energy_gradient,focus_class
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-2\sphere0452v_crop.png,sphere0452v_crop.png,14mm-borosilicate-2,266.95926542458847,818456560.0,8657.733416350415,27581174.0,0.02062377086276546,18502792.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-2\sphere0453v_crop.png,sphere0453v_crop.png,14mm-borosilicate-2,247.2171414630459,795583850.0,8404.931569147231,26851764.0,0.01921976757288721,17736795.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-2\sphere0459v_crop.png,sphere0459v_crop.png,14mm-borosilicate-2,272.56354150653425,821624280.0,8733.175277684892,28081758.0,0.02113310049572164,18656325.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-2\sphere0460v_crop.png,sphere0460v_crop.png,14mm-borosilicate-2,270.6241324612845,830804932.0,8826.084904931759,28099472.0,0.02060141244832418,18775826.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-2\sphere0461v_crop.png,sphere0461v_crop.png,14mm-borosilicate-2,251.52639013982773,811514214.0,8602.260342281426,27414476.0,0.01950756116807295,18074666.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-2\sphere0462v_crop.png,sphere0462v_crop.png,14mm-borosilicate-2,254.69810105077832,813564822.0,8618.305708821108,27198510.0,0.019693216609006692,18166175.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-2\sphere0464v_crop.png,sphere0464v_crop.png,14mm-borosilicate-2,259.1177513386271,813139832.0,8619.52352109118,27461671.0,0.02051009054999619,18255731.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-2\sphere0465v_crop.png,sphere0465v_crop.png,14mm-borosilicate-2,258.2457293702856,821749186.0,8712.16037897336,28107508.0,0.020451012932823597,18385427.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-2\sphere0466v_crop.png,sphere0466v_crop.png,14mm-borosilicate-2,271.9571917029171,831258358.0,8823.712837269495,28585518.0,0.021577890353573985,18799857.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-1\sphere0704v_crop.png,sphere0704v_crop.png,20mm-borosilicate-1,249.1812428079276,798192864.0,8612.558308142834,28047384.0,0.012743690823412767,17828675.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-1\sphere0712v_crop.png,sphere0712v_crop.png,20mm-borosilicate-1,248.6925628649425,797899036.0,8610.36555398798,27302914.0,0.012468584137508745,17809128.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-1\sphere0714v_crop.png,sphere0714v_crop.png,20mm-borosilicate-1,246.14576104808015,797680594.0,8605.985716639565,27577513.0,0.01256088605646561,17753110.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-1\sphere0715v_crop.png,sphere0715v_crop.png,20mm-borosilicate-1,240.38009027720852,792811472.0,8553.367174022975,27423472.0,0.012241727092975472,17562109.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-1\sphere0717v_crop.png,sphere0717v_crop.png,20mm-borosilicate-1,249.07293141562752,801625012.0,8648.43018511283,27721714.0,0.012606734573912662,17861405.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-1\sphere0723v_crop.png,sphere0723v_crop.png,20mm-borosilicate-1,244.26186742486038,780865598.0,8402.6639416365,26896663.0,0.01218011810170035,17439174.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-1\sphere0726v_crop.png,sphere0726v_crop.png,20mm-borosilicate-1,242.9210642372107,789084716.0,8493.191365137656,26759964.0,0.011940854958143343,17550164.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-1\sphere0733v_crop.png,sphere0733v_crop.png,20mm-borosilicate-1,242.57407284877655,787502858.0,8460.85615711055,27413432.0,0.012264405161564419,17515524.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-1\sphere0735v_crop.png,sphere0735v_crop.png,20mm-borosilicate-1,247.05407652869403,788320632.0,8472.458349532159,27488713.0,0.012525972227838649,17610547.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-1\sphere0736v_crop.png,sphere0736v_crop.png,20mm-borosilicate-1,243.0853036455379,791991438.0,8513.612918312703,27509068.0,0.012270181278012278,17594680.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-1\sphere0738v_crop.png,sphere0738v_crop.png,20mm-borosilicate-1,245.75641061944998,791231224.0,8507.273144067763,26916230.0,0.012303960415092768,17629519.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-1\sphere0739v_crop.png,sphere0739v_crop.png,20mm-borosilicate-1,245.1932831532631,787582160.0,8470.13538085003,26898643.0,0.012320044025066432,17567117.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-1\sphere0757v_crop.png,sphere0757v_crop.png,20mm-borosilicate-1,241.05798924604107,788114024.0,8483.884187296031,27418866.0,0.01218174133132756,17504187.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-1\sphere0759v_crop.png,sphere0759v_crop.png,20mm-borosilicate-1,242.29182882898579,788287296.0,8488.55098659738,27224697.0,0.011947538531578438,17518986.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-1\sphere0764v_crop.png,sphere0764v_crop.png,20mm-borosilicate-1,246.62251812473005,793991768.0,8528.612149161205,27647891.0,0.01246005246502617,17711869.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-1\sphere0765v_crop.png,sphere0765v_crop.png,20mm-borosilicate-1,243.7628399953397,796082252.0,8572.284496279472,27527079.0,0.012379990272611545,17684323.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-1\sphere0768v_crop.png,sphere0768v_crop.png,20mm-borosilicate-1,240.32237223194784,789445438.0,8495.144463158875,27356491.0,0.012221295927484794,17518920.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-1\sphere0770v_crop.png,sphere0770v_crop.png,20mm-borosilicate-1,249.34388690917896,797968784.0,8588.38151939674,27553687.0,0.01243712328786694,17814236.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0771v_crop.png,sphere0771v_crop.png,20mm-borosilicate-2,235.9779486306639,778447314.0,8377.039542971983,26334942.0,0.011604745221049005,17237816.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0772v_crop.png,sphere0772v_crop.png,20mm-borosilicate-2,174.50753659203517,730676066.0,7830.213319830489,24504443.0,0.008872025824014404,15237641.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0773v_crop.png,sphere0773v_crop.png,20mm-borosilicate-2,212.80171185378396,769275306.0,8267.396601382325,26222490.0,0.010844135033373397,16629559.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0774v_crop.png,sphere0774v_crop.png,20mm-borosilicate-2,241.59079345152227,797626304.0,8587.502567600233,27532690.0,0.012154021228215165,17672927.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0775v_crop.png,sphere0775v_crop.png,20mm-borosilicate-2,237.9985842326371,792211868.0,8530.826760337082,27204455.0,0.012102819171544162,17506989.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0776v_crop.png,sphere0776v_crop.png,20mm-borosilicate-2,241.08615851439137,783415858.0,8414.728283876457,26838074.0,0.011856873423995834,17428127.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0777v_crop.png,sphere0777v_crop.png,20mm-borosilicate-2,223.12121988977665,771558040.0,8271.374218490086,26214055.0,0.011087495512160723,16874342.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0778v_crop.png,sphere0778v_crop.png,20mm-borosilicate-2,199.7401208959667,733141666.0,7839.383815714706,24691629.0,0.009613289284165282,15772263.0,sharp
